Sprite, TM , Move , Type , Pwr. , Acc. , PP 
,TM03,Swords Dance,Normal,—,—%,30
,TM06,Toxic,Poison,—,85%,10
,TM08,Body Slam,Normal,85,100%,15
,TM09,Take Down,Normal,90,85%,20
,TM10,Double-Edge,Normal,100,100%,15
,TM20,Rage,Normal,20,100%,20
,TM21,Mega Drain,Grass,40,100%,10
,TM22,SolarBeam,Grass,120,100%,10
,TM31,Mimic,Normal,—,100%,10
,TM32,Double Team,Normal,—,—%,15
,TM33,Reflect,Psychic,—,—%,20
,TM34,Bide,Normal,—,—%,10
,TM44,Rest,Psychic,—,—%,10
,TM50,Substitute,Normal,—,—%,10
,HM01,Cut,Normal,50,95%,30